"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Middlebury,Kokoa Kamili,1538,2015,75%,U.S.A.,3.25, ,Tanzania
Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,68%,France,2.75, ,Trinidad-Tobago
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5, ,Ecuador
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Sprungli (Felchlin),Alto Beni,1057,2013,70%,Switzerland,3.0,Criollo,Bolivia
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5, ,Venezuela
Pacari,Los Rios,224,2008,72%,Ecuador,3.0,Forastero (Arriba),Ecuador
Nathan Miller,Hispaniola,1403,2014,70%,U.S.A.,2.5, ,Dominican Republic
Pralus,Cuyagua,451,2009,75%,France,2.0, ,Venezuela
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3.0, ,Panama
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Erithaj (A. Morin),Ben Tre,1205,2014,70%,France,3.25,Trinitario,Vietnam
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5, ,Honduras
Letterpress,Kokoa Kamili,1566,2015,70%,U.S.A.,3.5, ,Tanzania
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25, ,Venezuela
Sublime Origins,Sambirano,1157,2013,67%,U.S.A.,2.75,Trinitario,Madagascar
Vivra,Ocumare,1720,2016,70%,U.S.A.,2.5, ,Venezuela
Paul Young,"Madagascar, w/ shell",1271,2014,64%,U.K.,2.75,Trinitario,Madagascar
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3.0, ,Peru
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3.25, ,Bolivia
Millcreek Cacao Roasters,Ecuador,1073,2013,70%,U.S.A.,2.5,Forastero (Nacional),Ecuador
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5, ,Nicaragua
Choklat,Ocumare,377,2009,80%,Canada,2.5,Criollo,Venezuela
Lake Champlain (Callebaut),Tanzania,327,2009,75%,U.S.A.,2.5, ,Tanzania
Palette de Bine,Duo- Gran Couva & Camino Verde,1399,2014,75%,Canada,3.5,Blend,"Trinidad, Ecuador"
Solomons Gold,Solomon Island,1792,2016,70%,New Zealand,3.25, ,Solomon Islands
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2.0,Forastero (Arriba) ASS,Ecuador
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5, ,Peru
Duffy's,Ocumare,923,2012,72%,U.K.,3.75, ,Venezuela
Soma,Africa,377,2009,70%,Canada,3.5,Forastero,Ghana
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador
Luker,Selva,552,2010,46%,Colombia,2.75, ,"Colombia, Ecuador"
Rogue,"Tranquilidad, Batch 1",1566,2015,75%,U.S.A.,3.25, ,Bolivia
Zotter,Congo,749,2011,65%,Austria,3.0,Forastero,Congo
Sirene,Lachua w/ cane sugar,1614,2015,73%,Canada,3.0, ,Guatemala
Pitch Dark,Rugoso,1510,2015,80%,U.S.A.,3.25, ,Nicaragua
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5, ,Madagascar
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5, ,Costa Rica
Soma,Peruvian,676,2011,64%,Canada,4.0, ,Peru
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5, ,Venezuela
Palette de Bine,"Camino Verde P., Balao, Guayas",1303,2014,75%,Canada,2.75, ,Ecuador
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Whittakers,Ghana,733,2011,72%,New Zealand,2.5,Forastero,Ghana
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75, ,Domincan Republic
Zotter,Peru,647,2011,70%,Austria,3.75, ,Peru
Wilkie's Organic,Amazonas,1169,2013,89%,Ireland,2.75,Criollo,Peru
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3.0,Trinitario,Venezuela
L.A. Burdick (Felchlin),Grenada,576,2010,75%,U.S.A.,3.25,Trinitario,Grenada
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75, ,Nicaragua
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,70%,Japan,2.5,"Trinitario, Criollo",Peru
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5, ,Peru
Roasting Masters,Maleku,1844,2016,70%,South Korea,3.25, ,Costa Rica
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.0,Criollo,Mexico
Amedei,Chuao,111,2007,70%,Italy,5.0,Trinitario,Venezuela
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2.0,Criollo,Bolivia
Vicuna,Palos Blancos,1470,2015,70%,U.S.A.,3.25, ,Bolivia
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Meadowlands,Bolivia,1287,2014,70%,U.S.A.,2.5, ,Bolivia
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3.0,Trinitario,Madagascar
Doble & Bignall,Puerto Cabello,1688,2015,85%,U.K.,3.0, ,Venezuela
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize
Szanto Tibor,Cacao Blanco,1193,2013,70%,Hungary,3.25, ,Nicaragua
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam
"Smooth Chocolator, The",Kokoa Kamili,1622,2015,67%,Australia,3.75, ,Tanzania
Soul,Tanzania,1940,2017,80%,Canada,3.5, ,Tanzania
Pierre Marcolini,"Baracoa, Cuba",516,2010,78%,Belgium,3.75,"Criollo, Forastero",Cuba
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala
Scharffen Berger,Asante,336,2009,65%,U.S.A.,4.0,Forastero,Ghana
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador
Zotter,Huiwani Coop,879,2012,75%,Austria,3.0,"Criollo, Trinitario",Papua New Guinea
Olive and Sinclair,Dark 75,457,2009,75%,U.S.A.,3.0, ,"Ghana, Domin. Rep"
Kaoka (Cemoi),Ecuador,423,2009,80%,France,2.75, ,Ecuador
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67%,U.S.A.,3.5,"Amazon, ICS",Bolivia
Noir d' Ebine,Venezuela,837,2012,70%,U.S.A.,3.0, ,Venezuela
Soma,La Dalia,1307,2014,70%,Canada,3.25,Trinitario,Nicaragua
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia
Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.0, ,Peru
Kto,San Martin,1422,2014,72%,U.S.A.,2.5, ,Peru
Valrhona,Gran Couva 2005 P.,75,2006,64%,France,2.5,Trinitario,Trinidad
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25, ,Ecuador
Metropolitan,South America,1688,2015,70%,Amsterdam,3.5,Trinitario,South America
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5, ,Venezuela
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru
Mesocacao,"La Tronca, Matagalpa",1351,2014,80%,Honduras,3.5, ,Nicaragua
Guittard,Semisweet,99,2006,61%,U.S.A.,3.0,Blend, 
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Sjolinds,Ghana,1454,2015,70%,U.S.A.,2.75,Forastero,Ghana
Sirene,"Somia Plantation, 2012",1502,2015,100%,Canada,3.0,Trinitario,Madagascar
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25, ,Dominican Republic
Sjolinds,Nicaragua,1462,2015,72%,U.S.A.,3.0, ,Nicaragua
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3.0,Forastero (Nacional),Ecuador
Santander (Compania Nacional),Colombian Dark,32,2006,70%,Colombia,4.0,Forastero (Nacional),Colombia
Guittard,Onyx,654,2011,72%,U.S.A.,3.25, , 
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3.0, ,Venezuela
Two Ravens,Peru,1740,2016,60%,U.S.A.,3.0,Criollo,Peru
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,100%,U.S.A.,2.0,Forastero (Arriba),Ecuador
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Valrhona,"Andoa, Grand Cru blend",1145,2013,70%,France,3.5, , 
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75, ,Hawaii
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75, ,Ecuador
Escazu,Rio Caribe,903,2012,70%,U.S.A.,2.75,Trinitario,Venezuela
Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70%,U.S.A.,3.75, ,Dominican Republic
hexx,Venezuela,1546,2015,70%,U.S.A.,3.0, ,Venezuela
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5, ,Guatemala
Szanto Tibor,Millot Plantation,939,2012,70%,Hungary,3.25, ,Madagascar
Chocovic,Maragda,117,2007,70%,Spain,3.0,Blend, 
Undone,Matagalpa,1438,2014,74%,U.S.A.,2.75, ,Nicaragua
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela
Pralus,"Djakarta, Java and Ghana",99,2006,75%,France,3.5,"Criollo, Forastero","Indonesia, Ghana"
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72%,Belgium,3.0,Criollo,Indonesia
Spencer,Ecuador,1932,2017,70%,U.S.A.,3.5, ,Ecuador
Izard,"Elvesia P., Batch 32",1546,2015,70%,U.S.A.,2.75, ,Dominican Republic
Ritual,Gran Couva,979,2012,75%,U.S.A.,3.5,Trinitario,Trinidad
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75, ,Colombia
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5, ,Colombia
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic
Wellington Chocolate Factory,Conacado,1756,2016,70%,New Zealand,3.5,Trinitario,Dominican Republic
Soma,"Maracaibo, El Vigia",1077,2013,70%,Canada,4.0,Criollo,Venezuela
Cravve,"Tanzania, batch a1",971,2012,75%,Australia,3.25,Forastero,Tanzania
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5, ,Puerto Rico
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25, ,Ecuador
Pralus,"Sambirano Valley, Le 100%",202,2008,100%,France,3.0,Criollo,Madagascar
La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66%,France,3.5, ,Dominican Republic
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25, ,Hawaii
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3.25, ,Ecuador
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75, , 
Domori,Sur del Lago Classificado,87,2006,70%,Italy,3.0,Trinitario,Venezuela
Mast Brothers,Madagascar,999,2012,72%,U.S.A.,2.5,Trinitario,
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5, ,Nicaragua
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru
Guido Castagna,Lacri Blend,355,2009,76%,Italy,3.0, ,Venezuela
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5, ,Dominican Republic
Danta,Las Acacias E.,987,2012,70%,Guatemala,4.0,Criollo,Guatemala
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3.0, ,Peru
Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,70%,U.S.A.,3.75, ,Venezuela
Nathan Miller,Madagascar,1403,2014,73.5%,U.S.A.,2.5,Trinitario,Madagascar
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,70%,Canada,4.0,Trinitario,Vietnam
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75, ,Peru
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil
Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70%,U.S.A.,3.25, ,Belize
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia
S.A.I.D.,Latino,615,2010,72%,Italy,3.5, , 
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
Blanxart,Organic Dark,322,2009,72%,Spain,2.75, , 
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario, 
hexx,Peru,1550,2015,70%,U.S.A.,3.25, ,Peru
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70%,U.S.A.,3.5,Forastero (Parazinho),Brazil
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70%,U.K.,2.75, ,Ecuador
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5, ,Ecuador
Potomac,"San Martin, Amazonian Highlands",789,2011,70%,U.S.A.,2.75, ,Peru
Ritual,"Maranon, Cajamarca",1181,2013,75%,U.S.A.,3.0,Forastero (Nacional),Peru
Pralus,Cuba,99,2006,75%,France,3.0,Trinitario,Cuba
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam
Choklat,Ocumare,377,2009,70%,Canada,3.0,Criollo,Venezuela
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Theobroma,"Piura Select, Cacao Blanc",1684,2015,70%,Japan,3.25, ,Peru
twenty-four blackbirds,Palos Blancos,1026,2013,75%,U.S.A.,2.5, ,Bolivia
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,72%,Belgium,4.0,Criollo,Venezuela
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5, ,Ecuador
Scharffen Berger,Las Islas,117,2007,72%,U.S.A.,3.0,Blend,Carribean(DR/Jam/Tri)
Sublime Origins,Moho Valley,1157,2013,78%,U.S.A.,3.25,Trinitario,Belize
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70%,U.S.A.,3.75, ,Ecuador
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3.0,Criollo,Mexico
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero (Nacional),Ecuador
Marana,San Martin,1884,2016,70%,Peru,3.0, ,Peru
L'Amourette,Carenero Superior,833,2012,75%,U.S.A.,3.0,Trinitario,Venezuela
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Davis,Rainforest,1093,2013,70%,U.S.A.,2.75, ,Dominican Republic
Domori,Teyuna,272,2008,70%,Italy,3.0, ,Colombia
Zokoko,Goddess Blend,1780,2016,65%,Australia,3.25, , 
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3.0, ,Hawaii
Britarev,Ecuador,1638,2015,70%,Russia,3.25, ,Ecuador
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5, ,Ecuador
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75, ,Dominican Republic
Tocoti,Dominican Republic,789,2011,74%,U.S.A.,3.0, ,Dominican Republic
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Mesocacao,Honduras,1347,2014,80%,Honduras,3.25, ,Honduras
Theo,Madagascar,162,2007,65%,U.S.A.,3.5,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador
Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,75%,U.S.A.,3.25,Nacional (Arriba),Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80%,Madagascar,2.75,Trinitario,Madagascar
Nathan Miller,Peru,1403,2014,72%,U.S.A.,2.25, ,Peru
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4.0,Beniano,Bolivia
Felchlin,"Madagascar, Grand Cru",48,2006,64%,Switzerland,3.0,Criollo,Madagascar
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru
Santander (Compania Nacional),Colombian w/ nibs,414,2009,70%,Colombia,3.0,Forastero (Nacional),Colombia
Woodblock,"Camino Verde P., Balao, Guayas",1042,2013,70%,U.S.A.,3.25, ,Ecuador
Mesocacao,"La Tronca, Matagalpa",1351,2014,70%,Honduras,3.25, ,Nicaragua
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75, , 
La Maison du Chocolat (Valrhona),Kuruba,439,2009,60%,France,3.0, , 
Pacari,Manabi,224,2008,65%,Ecuador,2.75,Forastero (Arriba),Ecuador
Marou,Dong Nai,845,2012,72%,Vietnam,3.5,Trinitario,Vietnam
Stone Grindz,"Ecuador, Midnight Dark",1291,2014,84%,U.S.A.,3.5, ,Ecuador
Tejas,"La Bahia, w/ cane sugar",825,2012,70%,U.S.A.,3.25, ,Ecuador
Tejas,Aranama,805,2012,70%,U.S.A.,3.0, ,Papua New Guinea
Luker,Misterio,552,2010,58%,Colombia,3.0, ,"Colombia, Ecuador"
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5, ,Belize
El Rey,"Rio Caribe, Cariaco",439,2009,60.5%,Venezuela,2.75,Trinitario,Venezuela
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,68%,Madagascar,3.25,Trinitario,Madagascar
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4.0, ,Dominican Republic
Pacari,Tangara,1415,2014,70%,Ecuador,4.0, ,Ecuador
Map Chocolate,Colombia,1610,2015,75%,U.S.A.,2.75, ,Colombia
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
Cacao Sampaka,Papua,523,2010,71%,Spain,4.0, ,Papua New Guinea
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5, ,Hawaii
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75%,U.S.A.,3.75, ,Venezuela
"Smooth Chocolator, The",San Juan Estate,1622,2015,70%,Australia,3.75,Trinitario,Trinidad
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3.0,Forastero,Ghana
Zotter,Kerala State,781,2011,62%,Austria,3.25, ,India
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5, ,Panama
Vanleer (Barry Callebaut),Manhattan,963,2012,72%,U.S.A.,2.5,Forastero,Ghana
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Spencer,Peru,1932,2017,70%,U.S.A.,2.75, ,Peru
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85%,Ecuador,2.5, ,Ecuador
Indi,Honduras,1255,2014,77%,U.S.A.,3.0, ,Honduras
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Amano,Morobe,725,2011,70%,U.S.A.,4.0, ,Papua New Guinea
Pralus,"Monte Alegre (Itacare), Brazil",105,2006,75%,France,3.0,Forastero,Brazil
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70%,U.S.A.,2.75, ,Venezuela
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5, ,Ecuador
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5, ,Hawaii
Guittard,Sur del Lago,87,2006,65%,U.S.A.,2.5,"Trinitario, Criollo",Venezuela
Olive and Sinclair,Ghana prototype,486,2010,72%,U.S.A.,3.0,Forastero,Ghana
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3.0,Forastero (Nacional),Peru
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5, ,Indonesia
Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75, ,Bolivia
Kyya,Madagascar,1363,2014,72.5%,U.S.A.,3.0,Trinitario,Madagascar
L.A. Burdick (Felchlin),Chuao,927,2012,68%,U.S.A.,3.75,Trinitario,Venezuela
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2.5,Forastero,Uganda
The Barn,Peru,1614,2015,70%,Sweden,3.0, ,Peru
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3.25,Trinitario,Venezuela
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55%,U.S.A.,2.75,Blend,Hawaii
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25, ,Nicaragua
Starchild,Rio Tuma,1692,2015,70%,U.S.A.,3.0,Trinitario (Amelonado),Nicaragua
Dulcinea,Dominican Republic,1506,2015,70%,U.S.A.,3.25, ,Dominican Republic
Szanto Tibor,"Winak, Sumaco",1704,2015,70%,Hungary,3.75,Forastero (Nacional),Ecuador
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Trinitario,Madagascar
Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0, ,Dominican Republic
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
Salgado,Bahia Superior,288,2008,70%,Argentina,3.5,Forastero,Brazil
Pascha,Peru,1137,2013,55%,Peru,2.5, ,Peru
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize
Soma,"Bahia Black, batch bra50722.1",1828,2016,70%,Canada,3.5,Forastero (Parazinho),Brazil
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70%,Argentina,3.25, ,Venezuela
Tabal,"Chiapas, Lacandon Jungle",1105,2013,70%,U.S.A.,2.5, ,Mexico
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78%,U.S.A.,2.75,Trinitario,Vietnam
Solstice,Bolivia,1161,2013,70%,U.S.A.,3.25, ,Bolivia
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4.0,Forastero,Sao Tome
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil
Domori,"Ocumare 61, Puertomar",129,2007,75%,Italy,3.25,Criollo (Ocumare 61),Venezuela
Ocho,Sang Yum Coop,1760,2016,100%,New Zealand,2.75, ,Samoa
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5, ,Ecuador
Palette de Bine,Maya Mtn,1720,2016,72%,Canada,3.0,Trinitario,Belize
Sol Cacao,Madagascar,1518,2015,72%,U.S.A.,3.0,Trinitario,Madagascar
Scharffen Berger,Kumasi Sambirano,40,2006,68%,U.S.A.,2.0,Blend,Ghana & Madagascar
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru
Zotter,Santo Domingo,879,2012,70%,Austria,3.75, ,Dominican Republic
Scharffen Berger,Extra Dark,15,2006,82%,U.S.A.,2.0, , 
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru
Rain Republic,Suchitepequez E.,470,2010,70%,Guatemala,2.75, ,Guatemala
Zokoko,Guadalcanal,1716,2016,78%,Australia,3.75, ,Solomon Islands
Rozsavolgyi,"Aragua, Trincheras",717,2011,70%,Hungary,3.5, ,Venezuela
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25, ,Nicaragua
Santander (Compania Nacional),Colombian 2008,404,2009,75%,Colombia,2.75,Forastero (Nacional),Colombia
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela
Monsieur Truffe,Papaua New Guinea,1391,2014,70%,Australia,3.25, ,Papua New Guinea
